,Provedor,Estado,Longitude,Latitude
11956,TIM,PA,-1.444556,-48.480889
11957,TIM,PA,-1.450722,-48.499139
11994,Vivo,PA,-1.07111,-48.352777777778
12472,Vivo,PA,-2.46417,-48.745
12475,Vivo,PA,-5.1375,-49.34333
12684,Vivo,PA,-1.7213888888889,-49.528055555556
12685,Vivo,PA,-4.27444,-47.55861
12686,Vivo,PA,-1.32472,-48.35194
12740,TIM,PA,-5.3438611111111,-49.097138888889
12941,TIM,PA,-1.724389,-48.888194
12944,TIM,PA,-1.341111,-48.356806
12945,TIM,PA,-1.5075277777778,-48.619111111111
12946,TIM,PA,-1.361639,-48.476
12948,TIM,PA,-1.0563055555556,-46.763388888889
12951,TIM,PA,-1.1928055555556,-47.180111111111
12952,TIM,PA,-1.2773888888889,-48.474
12957,TIM,PA,-1.25944,-48.465
12961,TIM,PA,-1.162111,-48.467
12971,TIM,PA,-1.1418055555556,-48.462388888889
12975,TIM,PA,-1.121194,-48.4295
12993,TIM,PA,-2.984861,-47.451889
13088,TIM,PA,-1.4575,-48.49472
13089,TIM,PA,-1.40389,-48.43083
13172,Vivo,PA,-6.46,-50.074166666667
13315,TIM,PA,-1.4482222222222,-48.468361111111
13424,Vivo,PA,-0.63333,-47.65333
13439,TIM,PA,-1.4545472222222,-48.502044444444
13449,Vivo,PA,-2.00222,-49.86556
13450,Vivo,PA,-1.67528,-50.47528
13452,Vivo,PA,-2.41777,-48.1525
13454,Vivo,PA,-6.10028,-49.61056
13455,Vivo,PA,-3.46028,-52.8875
13456,Vivo,PA,-1.98528,-47.94111
13457,Vivo,PA,-0.865,-52.53639
13535,Vivo,PA,-2.41,-48.25694
14097,TIM,PA,-5.3488861111111,-49.132941666667
14101,TIM,PA,-5.370378,-49.119122
14102,TIM,PA,-5.383444,-49.135417
14195,Vivo,PA,-2.47472,-54.70694
14197,Vivo,PA,-4.1441666666667,-50.213055555556
14822,TIM,PA,-2.42222,-54.71639
14824,TIM,PA,-2.43167,-54.73278
14826,TIM,PA,-2.475,-54.70556
15690,Vivo,PA,-8.2108333333333,-49.616111111111
15759,Vivo,PA,-1.5116666666667,-48.611111111111
15801,Vivo,PA,-1.94972,-54.74083
15804,Vivo,PA,-1.89722,-50.21472
15807,Vivo,PA,-0.8275,-46.60528
15864,Vivo,PA,-1.7261111111111,-48.874166666667
16650,TIM,PA,-3.1946666666667,-52.220055555556
16651,TIM,PA,-4.2956111111111,-47.557527777778
16653,TIM,PA,-2.2488583333333,-49.501888888889
16685,TIM,PA,-3.843339,-49.681689
16686,TIM,PA,-3.7661111111111,-49.668638888889
16687,TIM,PA,-2.944194,-48.955861
16688,TIM,PA,-1.3493888888889,-47.574666666667
16689,TIM,PA,-1.8881527777778,-48.765483333333
16693,TIM,PA,-1.1293888888889,-47.622222222222
16700,TIM,PA,-7.1041277777778,-49.946322222222
16701,TIM,PA,-0.856833,-48.14125
